thisN,thisTrialN,thisRepN,stimuli,corrAns,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trainingBlock.thisRepN,trainingBlock.thisTrialN,trainingBlock.thisN,trainingBlock.thisIndex,thisRow.t,notes,routine_2.started,text_3.started,routine_2.stopped,trial.started,text.started,image.started,image_2.started,key_resp.started,trial.stopped,trainingBlock.key_resp.keys,trainingBlock.key_resp.corr,trainingBlock.key_resp.rt,trainingBlock.key_resp.duration,feedback_2.started,fb_2.started,feedback_2.stopped,fb_2.stopped,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,choose right,right,left,0,1.2156169999998383,None,0,0,0,0,0,0,0,1,1.0437652000000526,,0.012454600000182836,0.026971400000093126,1.0141640000001644,1.021198700000241,1.0437652000000526,1.0437652000000526,1.0437652000000526,1.0437652000000526,2.2675404000001436,left,0,1.2156169999998383,None,2.278174200000194,2.293246000000181,3.2807990000001155,,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
1,1,0,choose left,left,left,1,0.5799634999998489,None,0,0,0,0,0,1,1,0,3.2949524000000565,,,,,3.285415599999851,3.2949524000000565,3.2949524000000565,3.2949524000000565,3.2949524000000565,3.879985999999917,left,1,0.5799634999998489,None,3.883229300000039,3.8943976999998995,4.879789099999925,4.894645700000183,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
2,0,1,choose right,right,right,1,0.7160296000001836,None,0,0,0,0,1,0,2,1,4.894645700000183,,,,,4.881666000000223,4.894645700000183,4.894645700000183,4.894645700000183,4.894645700000183,5.613927100000183,right,1,0.7160296000001836,None,5.616933300000255,5.627736800000093,6.613095700000031,6.627689200000077,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
0,0,0,choose right,right,right,1,0.558592200000021,None,1,0,1,0,0,0,0,1,7.6281042999999045,,6.615556900000229,6.627689200000077,7.614973100000043,7.618140699999913,7.6281042999999045,7.6281042999999045,7.6281042999999045,7.6281042999999045,8.19666929999994,right,1,0.558592200000021,None,8.198705300000256,8.211622100000113,9.197606799999903,,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
1,1,0,choose left,left,left,1,0.727155699999912,None,1,0,1,0,0,1,1,0,9.211670799999865,,,,,9.200420399999985,9.211670799999865,9.211670799999865,9.211670799999865,9.211670799999865,9.946758300000056,left,1,0.727155699999912,None,9.949484700000085,9.961119099999905,10.946446700000251,10.96125209999991,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
2,0,1,choose left,left,left,1,0.5697408000000905,None,1,0,1,0,1,0,2,0,10.96125209999991,,,,,10.946550099999968,10.96125209999991,10.96125209999991,10.96125209999991,10.96125209999991,11.548264800000197,left,1,0.5697408000000905,None,11.552527299999838,11.561327100000199,12.547442900000078,12.561295500000142,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
3,1,1,choose right,right,right,1,0.5131710000000567,None,1,0,1,0,1,1,3,1,12.561295500000142,,,,,12.54931970000007,12.561295500000142,12.561295500000142,12.561295500000142,12.561295500000142,13.080070699999851,right,1,0.5131710000000567,None,13.082259700000122,13.094494899999972,14.079898100000264,14.095022699999845,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
4,0,2,choose left,left,left,1,0.8434257999997499,None,1,0,1,0,2,0,4,0,14.095022699999845,,,,,14.081856499999958,14.095022699999845,14.095022699999845,14.095022699999845,14.095022699999845,14.94665040000018,left,1,0.8434257999997499,None,14.948602400000254,14.961237099999835,15.946317299999919,15.962697500000104,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
5,1,2,choose right,right,right,1,0.864235799999733,None,1,0,1,0,2,1,5,1,15.962697500000104,,,,,15.948169499999949,15.962697500000104,15.962697500000104,15.962697500000104,15.962697500000104,16.830246200000147,right,1,0.864235799999733,None,16.834124900000006,16.84451940000008,17.829748200000267,17.844514700000218,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
1,0,1,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
0,0,0,choose right,right,right,1,0.6465524999998706,None,2,0,2,0,0,0,0,1,18.844708399999945,,17.831816700000218,17.844514700000218,18.82978009999988,18.831950199999937,18.844708399999945,18.844708399999945,18.844708399999945,18.844708399999945,19.496740300000056,right,1,0.6465524999998706,None,19.498761599999852,19.511256799999956,20.496603999999934,20.51144400000021,18.844708399999945,831500,001,2025-07-03_13h41.55.982,untitled,2024.2.4,60.14505785058585,2025-07-03 13h41.57.964466 -0400,
1,1,0,choose left,left,,,,,,,,,0,1,1,0,20.51144400000021,,,,,20.49863510000023,20.51144400000021,20.51144400000021,20.51144400000021,20.51144400000021,,,,,,,,,,,,,,,,,,
